epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1160.97,0.9465,0.72524,0.98444,0.76648,0.77861,0.84562,0.54874,1.08662,0.74211,1.02855,0.0008848,0.0008848,0.0008848
74,1176.49,0.93922,0.72431,0.98208,0.80396,0.74395,0.83428,0.54587,1.06187,0.73888,1.02086,0.0008832,0.0008832,0.0008832
75,1191.86,0.93654,0.72443,0.97775,0.77092,0.74687,0.82531,0.54189,1.05829,0.77065,1.01173,0.0008816,0.0008816,0.0008816
76,1207.47,0.95315,0.72686,0.97957,0.76988,0.77956,0.8433,0.54026,1.08728,0.73973,1.04273,0.00088,0.00088,0.00088
77,1223.03,0.93571,0.7112,0.98346,0.75839,0.76667,0.83987,0.55448,1.07116,0.72305,1.01984,0.0008784,0.0008784,0.0008784
78,1238.5,0.9374,0.70659,0.98832,0.79611,0.75112,0.85135,0.55184,1.07021,0.7152,1.02674,0.0008768,0.0008768,0.0008768
79,1253.97,0.93079,0.70448,0.97479,0.77093,0.76817,0.83806,0.55141,1.06337,0.74042,1.02312,0.0008752,0.0008752,0.0008752
80,1269.38,0.93989,0.71082,0.98026,0.83003,0.73985,0.84246,0.54141,1.07619,0.74123,1.0283,0.0008736,0.0008736,0.0008736
81,1285.01,0.9327,0.71167,0.97111,0.75669,0.74912,0.82131,0.53995,1.07573,0.75111,1.03945,0.000872,0.000872,0.000872
82,1300.53,0.93052,0.69985,0.97904,0.79203,0.76034,0.84506,0.54999,1.0727,0.73325,1.02931,0.0008704,0.0008704,0.0008704
83,1316,0.92906,0.69751,0.97374,0.75776,0.78681,0.84524,0.55678,1.08254,0.73645,1.03932,0.0008688,0.0008688,0.0008688
84,1331.44,0.92509,0.69458,0.97189,0.8039,0.7666,0.85194,0.561,1.06987,0.72332,1.03458,0.0008672,0.0008672,0.0008672
85,1346.81,0.92195,0.70053,0.97144,0.81288,0.74647,0.84538,0.55265,1.06522,0.72461,1.02247,0.0008656,0.0008656,0.0008656
86,1362.43,0.92121,0.70427,0.97752,0.79406,0.76023,0.8398,0.55182,1.0741,0.73919,1.03425,0.000864,0.000864,0.000864
87,1377.87,0.91459,0.68156,0.9705,0.76558,0.78591,0.83636,0.55099,1.07189,0.74162,1.02739,0.0008624,0.0008624,0.0008624
88,1393.32,0.91537,0.68838,0.96932,0.77235,0.7715,0.83489,0.5504,1.05964,0.73752,1.02069,0.0008608,0.0008608,0.0008608
89,1408.81,0.91152,0.67839,0.97144,0.79618,0.76342,0.84151,0.54944,1.05243,0.72621,1.021,0.0008592,0.0008592,0.0008592
90,1424.29,0.92303,0.67891,0.96899,0.76379,0.79151,0.84526,0.55095,1.06537,0.72446,1.01764,0.0008576,0.0008576,0.0008576
91,1439.69,0.91637,0.67635,0.96918,0.75464,0.78853,0.8369,0.5439,1.06851,0.75069,1.0292,0.000856,0.000856,0.000856
92,1455.26,0.90671,0.67641,0.96354,0.77698,0.77236,0.84716,0.5487,1.07392,0.74237,1.04358,0.0008544,0.0008544,0.0008544
93,1470.77,0.90698,0.67488,0.9644,0.79466,0.76529,0.84984,0.55335,1.07997,0.72586,1.04069,0.0008528,0.0008528,0.0008528
94,1486.32,0.90213,0.66512,0.96973,0.80646,0.75711,0.84783,0.55349,1.06371,0.71807,1.03244,0.0008512,0.0008512,0.0008512
95,1501.65,0.89825,0.65892,0.95599,0.77338,0.76602,0.83462,0.54725,1.05944,0.73732,1.03522,0.0008496,0.0008496,0.0008496
96,1517.1,0.9381,0.67631,0.96507,0.79105,0.76724,0.84666,0.55315,1.0704,0.7315,1.02825,0.000848,0.000848,0.000848
97,1532.61,0.89487,0.65672,0.96244,0.75349,0.78676,0.84958,0.54688,1.08576,0.74448,1.0417,0.0008464,0.0008464,0.0008464
98,1548.21,0.88778,0.65477,0.96519,0.80829,0.75816,0.84785,0.54961,1.06555,0.71319,1.02405,0.0008448,0.0008448,0.0008448
99,1563.67,0.9119,0.66077,0.96862,0.77809,0.79604,0.85096,0.55557,1.06183,0.7133,1.02505,0.0008432,0.0008432,0.0008432
100,1579.14,0.88615,0.65968,0.95821,0.78856,0.7833,0.85218,0.56154,1.05282,0.69768,1.02865,0.0008416,0.0008416,0.0008416
101,1594.54,0.88851,0.64032,0.96005,0.79636,0.76373,0.85448,0.55948,1.06172,0.71063,1.02835,0.00084,0.00084,0.00084
102,1610.05,0.89714,0.65649,0.96337,0.80959,0.7447,0.84414,0.55607,1.06594,0.72576,1.02506,0.0008384,0.0008384,0.0008384
103,1625.56,0.8833,0.64674,0.96835,0.74235,0.79857,0.84402,0.55352,1.05943,0.72229,1.0328,0.0008368,0.0008368,0.0008368
104,1641.1,0.90598,0.65353,0.95845,0.78477,0.78386,0.84841,0.55446,1.06418,0.70515,1.03847,0.0008352,0.0008352,0.0008352
105,1656.61,0.88627,0.63782,0.95805,0.75628,0.79358,0.85019,0.56187,1.06043,0.69448,1.03657,0.0008336,0.0008336,0.0008336
106,1672.07,0.88723,0.64317,0.96034,0.77817,0.79565,0.85907,0.56289,1.07746,0.68844,1.04302,0.000832,0.000832,0.000832
107,1687.56,0.88335,0.63414,0.96478,0.79987,0.76388,0.85196,0.56252,1.06345,0.71517,1.03938,0.0008304,0.0008304,0.0008304
108,1702.98,0.8834,0.63871,0.95884,0.76424,0.79863,0.84976,0.55547,1.06521,0.70155,1.03943,0.0008288,0.0008288,0.0008288
