epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1086.75,1.29739,1.10611,1.31467,0.71505,0.75327,0.7856,0.4562,1.39207,1.15908,1.54063,0.005347,0.005347,0.005347
49,1107.87,1.31443,1.10613,1.30311,0.77082,0.71527,0.79256,0.47457,1.23798,1.01492,1.36095,0.005248,0.005248,0.005248
50,1128.83,1.28536,1.0945,1.30166,0.77051,0.75016,0.80238,0.50689,1.21301,0.9628,1.3602,0.005149,0.005149,0.005149
51,1149.77,1.25771,1.09846,1.28788,0.76924,0.78864,0.83293,0.50706,1.23881,0.91305,1.37567,0.00505,0.00505,0.00505
52,1170.86,1.27009,1.09873,1.30691,0.56303,0.58017,0.56524,0.30096,1.62208,1.4693,1.66588,0.004951,0.004951,0.004951
53,1191.88,1.28296,1.0738,1.29081,0.70604,0.74249,0.7812,0.44609,1.36438,1.06897,1.4423,0.004852,0.004852,0.004852
54,1212.93,1.25218,1.07371,1.29496,0.79984,0.73534,0.80843,0.51817,1.17491,0.98588,1.36406,0.004753,0.004753,0.004753
55,1233.84,1.26319,1.05315,1.29274,0.77356,0.77505,0.81817,0.51095,1.22501,0.96003,1.41928,0.004654,0.004654,0.004654
56,1254.76,1.26223,1.07716,1.29317,0.79162,0.79414,0.85157,0.54422,1.17082,0.8802,1.32614,0.004555,0.004555,0.004555
57,1275.84,1.2739,1.06671,1.29257,0.7776,0.74937,0.8284,0.53094,1.18056,0.91798,1.35317,0.004456,0.004456,0.004456
58,1296.99,1.24688,1.08135,1.27658,0.78702,0.82394,0.85591,0.53421,1.19952,0.88428,1.37287,0.004357,0.004357,0.004357
59,1317.82,1.24751,1.03951,1.2892,0.78535,0.74361,0.81976,0.51503,1.24751,0.93153,1.4147,0.004258,0.004258,0.004258
60,1338.84,1.25259,1.0348,1.27428,0.8155,0.76636,0.85193,0.5343,1.17714,0.91091,1.36001,0.004159,0.004159,0.004159
61,1359.7,1.22542,1.01545,1.27815,0.67355,0.70941,0.75915,0.45911,1.30135,1.1321,1.45739,0.00406,0.00406,0.00406
62,1380.46,1.22122,1.01871,1.26995,0.80882,0.75682,0.85026,0.54518,1.21234,0.89225,1.35474,0.003961,0.003961,0.003961
63,1401.42,1.20284,1.00676,1.2582,0.85497,0.77583,0.86579,0.54568,1.18666,0.84716,1.36015,0.003862,0.003862,0.003862
64,1422.4,1.24013,1.01266,1.26203,0.75829,0.76866,0.80971,0.50113,1.22265,0.96843,1.38035,0.003763,0.003763,0.003763
